channel_index,channel_name,label,category,base_can_id_hex,base_can_id_dec,value_a_signal,value_a_unit,value_a_min,value_a_max,value_a_data_type,value_a_byte_offset,value_a_byte_length,value_a_endian,value_b_signal,value_b_unit,value_b_data_type,value_b_byte_offset,value_b_byte_length,value_b_endian,notes
1,rpm,RPM,ENGINE,0x1E005000,503336960,Engine Speed,rpm,0,8000,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,CAN ID = Base ID + (ECU_Serial & 0x7FF). Channel index in bits 24:14.
2,map_kpa,MAP,ENGINE,0x1E009000,503353344,Manifold Absolute Pressure,kPa,0,400,IEEE754_Float32,0,4,BigEndian,Barometric Pressure,kPa,IEEE754_Float32,4,4,BigEndian,Boost (psi) = (MAP - Baro) * 0.145038
3,tps,Throttle Position,ENGINE,0x1E00D000,503369728,Throttle Position,%,0,100,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,0 to 100 percent
4,coolant_temp,Coolant Temp,TEMPERATURE,0x1E011000,503386112,Coolant Temperature,degF,-40,300,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Engine coolant sensor
5,target_afr,Target AFR,FUELING,0x1E015000,503402496,Target Air-Fuel Ratio,AFR,10,20,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Commanded target AFR from fuel table
6,afr_left,AFR Bank 1,FUELING,0x1E019000,503418880,Wideband AFR Bank 1 (Left),AFR,8,22,IEEE754_Float32,0,4,BigEndian,Sensor Status,,IEEE754_Float32,4,4,BigEndian,Primary wideband O2 sensor
7,afr_right,AFR Bank 2,FUELING,0x1E01D000,503435264,Wideband AFR Bank 2 (Right),AFR,8,22,IEEE754_Float32,0,4,BigEndian,Sensor Status,,IEEE754_Float32,4,4,BigEndian,Secondary wideband O2 sensor (if equipped)
8,afr_avg,AFR Average,FUELING,0x1E021000,503451648,Average Wideband AFR,AFR,8,22,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Averaged wideband reading
9,air_temp_enrich,Air Temp Enrichment,FUELING,0x1E025000,503468032,Air Temp Enrichment,%,-100,100,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Fuel multiplier based on IAT
10,coolant_enrich,Coolant Enrichment,FUELING,0x1E029000,503484416,Coolant Temp Enrichment,%,0,200,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Warm-up fuel enrichment percentage
11,ignition_timing,Ignition Timing,IGNITION,0x1E02D000,503500800,Ignition Timing,degBTDC,-20,50,IEEE754_Float32,0,4,BigEndian,Knock Retard / Status,deg,IEEE754_Float32,4,4,BigEndian,Actual total spark advance
12,battery_voltage,Battery Voltage,ELECTRICAL,0x1E031000,503517184,Battery Voltage,V,0,18,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Main ECU supply voltage
13,current_learn,Fuel Learn,FUELING,0x1E035000,503533568,Closed Loop Fuel Learn,%,-50,50,IEEE754_Float32,0,4,BigEndian,Status / Reserved,,IEEE754_Float32,4,4,BigEndian,Active fuel trim learn table adjustment
